address,maxClaimable
0x29d128aba6746496b654f2d6d8ccf52f0bb6fb71,1
0x2a274cdbcf7d956a68f46dd690d6ecd5ee773ad5,1
0x2a45c51ad0be68790e28d26ac8963497f6760472,1
0x2a9a201b97305f52e3771acdbfbadc015fbd155f,1
0x2ba34c711fbd3ab880f32c87889191a663152400,1
0x2bea8d5556496b882d374b1d353d7c8b02993cd7,1
0x2d5b038d40e483f4a6bef2f6ade962add385730a,1
0x2e449653d0b5c28aa4685121d6910a6dd270efa0,1
0x2f6c827570d0c8b51a21e98f6b8f45d1c1232472,1
0x2ffff4b662440f8076effd6385a44edbab1a7f93,1
0x30bf6247e4026e158e3a94ef11aa1b0de2d1703b,1
0x30f21d65b38ae778fb3094fe5485af49e578c0ac,1
0x33171f918330bc4153a53027b2dd3b38c5424728,1
0x340eaa2f2ace34c27839b34b0f2c00b3d191fd21,1
0x34a2d70f474bc0c35ec27915fcf2c87f227fd9ea,1
0x34dbcfe2a1393de14b1d5c5acba99178c2bbfae5,1
0x34fb5e72a593ec2a3a1fe04eb9a52a3cc48acc18,1
0x35e9cb47e7c9bf69bdcc52834637b1b53556c4d8,1
0x35f5845b8b7c4a558a38fb4c21137cf168cdf5b0,1
0x374534de1dfd0b0f965600d887f452f7035ea08b,1
0x38daea6f17e4308b0da9647db9ca6d84a3a7e195,1
0x38e79ea975512467b2047b2287b934303572113a,1
0x392a824486e437512e27f139285301b50ad12c70,1
0x3936329d564d476ecaecde46bb6b50ef34c734ba,1
0x39c49207d6bcc6ebb6c43f90e76d51bfca0b8b34,1
0x3bda56ef07bf6f996f8e3defddde6c8109b7e7be,1
0x3c2d6d7144241f1f1203c29c124585e55b58975e,1
0x3c400b1e8f0ce3eebde5cac54c1908aec5c7ce3b,1
0x3e2f18e12fa3de657ce80e603ebd120443d77523,1
0x3ed58cf30b18f5593df128e8553608448a05af11,1
0x3f999937bb400b4a83252d16487e2cfb6cfaf8e3,1
0x40386c72fc6331492c75d3bf5a41565750a59511,1
0x40e09d683b0b6308f1031d1c0f860c6f88015f12,1
0x430d00d7b63715ff5f19c825b750aa20ce627c8b,1
0x437045f8592710687bb9ed7ff2133ba83e000f6d,1
0x43a0e4d33a3a0be22b8b1128025a9a181b707a73,1
0x43e47385f6b3f8bdbe02c210bf5c74b6c34ff441,1
0x44e693c6e5d23b1c64a22212cd5ea175e3204a83,1
0x45629fd0ec71563c97296ff6727a458dc61a579b,1
0x45cd8e372bb9d71c3b5def4468f8f1e6f1f9f3ea,1
0x45d46f51c468f81600aa3cbcb9c7608cbf46044f,1
0x4670642d8bddcc896f3fd50050f6ba327bdc0602,1
0x479e3b32560c63cd4969ca8a369ea9f41ed9c60d,1
0x4900ed49b287f2b4db98ac4db03bcfd2f30f1788,1
0x491b50a9e293ac20cbe3db590eb660bf4598d205,1
0x492460f4986360d514e87bbfe18a90e48518c9d7,1
0x49393f78fc8c1e22be4259ed1c613a485e5259fc,1
0x4a8d0ef4e0fcf7e8e8a5e7dae69b0de66a760470,1
0x4b4dbee4444fc212007d8a4b16248ec06e7dfd54,1
0x4cc65d1a9b11b5c6840658e9ef0c4712432184bd,1
0x4ced87d43e3039117d4772c1540501e1774f796d,1
0x4d2803f468b736b62fe9eec992c8f4c41be4cb15,1
0x4eb58e3439edcdd6596261b01b1d42e6bd05d2fe,1
0x4f1d5180c785969c64e41a5902c5616ba0285082,1
0x51e4839119b92a216f30a90108c938bfb2a9b638,1
0x53a5a08ec4a05314eca787912f878f6533326431,1
0x53ae2b3505b8ea5469cca95f8c38906bb7122667,1
0x540738e9814262b0ea099e04cbe41f58f862abc5,1
0x549c405b6b0b446cc0e6de70f0b030b8e3b8672a,1
0x54bf374c1a0eb4c52017cc52cf1633327ee3e985,1
0x55566cc462f8a2634b4ce8927fd9904b0e470497,1
0x56350ae4c9b83b5022f8011bdfa0ddff895b14c2,1
0x56e1908cbb6cebea1b33c95df07982d723ed068f,1
0x573cd2ed0e42ab76c11f39db3c749cd9dd37745b,1
0x592e857197b0731e218f5e61c076be082ce325e4,1
0x594cc794e88c9029d86bfb0eedcaaa383ce63166,1
0x5a760b9dc5cc2e04a8fc59f3638596fc8e4fb58a,1
0x5bd454f314d5d433c85c29e3621b7e5da6f3b121,1
0x5c5607721021a0acc528a3a9f5a3e0f1dd84ba03,1
0x5c5efebe2035a5f3d180d545c54c8e6b95c31068,1
0x5cb0be11173154dd819ca3077cc062fd015bedf9,1
0x5cd673749c930a2930deddca94b18043ddc8b935,1
0x5d58edc7a7c91239ec2fd56a646679780886323c,1
0x5d998460b7be6ef6c396259e148a0a920434bc7a,1
0x5ea405d8d514d05eb4601aef6ba8b4a8b89eb044,1
0x5fb51fa911604f8aaacee1231620e028be369b1d,1
0x6055e5cb776ccbe1799c61b6990515ee26e26681,1
0x60b3bbd26b7013bfa96933d8f22444bbe8181ab9,1
0x60e315d6bd9e82370a609ca9d3f5a09e4ffb82e0,1
0x60ea7dc5c36733cc6c732b0fd960a9f6537b3a1a,1
0x6199c3b518aa813ec11679a4ac3523413d41a4bb,1
0x62dad688ca940162eb7996c0c5badb7245fce92f,1
0x632a7d1c136129d2e0e7628153eed7e227aa43bd,1
0x633095671cfcde32ad064d014a81ae54c56996e1,1
0x646a6036c9a263c2fdd6cac552c8e2820160a3a2,1
0x65d3febc3112cef66be36df9a62ac0f94079bd42,1
0x660c6e11612cdf5fceb297a84071aff390e13c06,1
0x68013d69c9e82191c88bbc31edddc1f6006fbacd,1
0x687703147819c33004c9e6d138e8ad9ed6149612,1
0x68856c1fb2525e65bfb3f945e2041e24ea373c21,1
0x69459ba40bb3b8cff9b0a1daa54ba5571c4dcef1,1
0x6a75774982e73a4444d1364ed894ac58412b8c56,1
0x6a92722cfc0031f5055191f58c888b5c3f47fe35,1
0x6c459efc19c53f9da79438bf788f6496bdfc0868,1
0x6de280d16248d8b6da1620aea56c53e6076ccf74,1
0x6e0cd727c29a2eb7ee810cee5e7081513c401855,1
0x6e2ec146246f6c4e50fe9bbc643c639b5c182dde,1
0x6e8a8f55a81b3f1dab9831fb44b2cf2bbc447977,1
0x6ea3b97e28f6d65034fb814cda9770a92bea4bf2,1
0x6eef09b526d883f98762a7005fabd2c800dfca44,1
0x6f885dfab6520bd9bdc28a5a527e40daa625a770,1
0x707331e710f5ecc24de20c38a58f086fc6b1f232,1
0x728b60ea697d113f2e5b382aed68f539ede796be,1
0x748e495fd32e8c63202f2bcf510f6f6b0a9bf576,1
0x749ea0bc5ca4211f09863d06bcdf43e2a95503ea,1
0x7705be5dca2536d7527332abcc57a9973a4d1dfb,1
0x7900d9a641296a5d31b5fd753d502cce8f838909,1
0x791693be9f11ab6b16bcfd4dc8e1b7ff68d34f97,1
0x794c94f1b5e455c1dba27bb28c6085db0fe544f9,1
0x797a47774c061c45ee94232217bfceae6ac937c8,1
0x7a26f2a0b0bfe00e9c6f5e7cf1206eeeb40245d0,1
0x7abcd4133cdfef01d1fce4be7b7e1e81113a33d6,1
0x7af418840aa874acfcc6b07134a830733b64be79,1
0x7bcba9296df0a11afac47881e9c08b40371ba008,1
0x7c4a7d85623cdf7bbf67ceaf2b862e3028fe9acb,1
0x7cc4e967242e1cad92152d47ae0bb9169e97d553,1
0x7cd48e7a94bdfdeaa617fa7a0174632f8b43d2c1,1
0x7df1625d26d51ce3803a36a207720796b9a3690a,1
0x7ee31626661f6e6b91d21f1303873332cc9aed8a,1
0x7f395725dc07392ae46841f2a78cdee834aa039c,1
0x7f85ac005032b7a405d535eeb6aa6c29d05ae859,1
0x816232ef41e493ff74559f6bedb0f1bb70285249,1
0x82eee8e0fb8585b1b5e95639536b46aa213991a4,1
0x83bfaff44f217124a413e349a575b3d2ca9ad66f,1
0x845b0bed7dd6a2dc60a9f8d8e3befd58b645c528,1
0x8465663fed8410ba037a3b2ce74ec92fcb3483da,1
0x847fe31c07b03011621bcd8a12b64e2618a47743,1
0x857f58b6afde4bcbe9b86409242c146f0d0de31c,1
0x85d4b10812204b5ad1e05dd8ce5c5384e583d4e2,1
0x8662b4a72d5544ba34c307a771ea2853af9778eb,1
0x86b58f3390fc0ea188799b7bc3a867c925223d68,1
0x86ed42e1b942b0d314ed2864ab7879d425f11298,1
0x874df3dda021045f17542593e161c2c7366ae266,1
0x880e265a5f7babd24281d6e7a2fcf41ddfb5b4b4,1
0x885ac1b614f952716f7e21b7091bd88ff4e2e24c,1
0x88b8073739f867126c96f392512ddb34ef3a350e,1
0x89a27fde1243d15c2809f5ab3d1f0aa4175bb0d1,1
0x8a9f22d0aa908f7ccd7037386fccdbba8d203015,1
0x8ada2456b720a2bbe2bc78b3f4ecb0e4497eab20,1
0x8c183fa11c17f104dd14ae6bf555de7921a34636,1
0x8cf21305896dc64a8124fa0dce11422cb963b4c6,1
0x8e8418af4015defb823e5cf30fed680016b7fa12,1
0x8f60d79fe3df6cd0e3a44288ad2f41af134d813e,1
0x8fa8c4df8960f0924b180c2baa3101b0fc65455e,1
0x9387b5a08d050427f74cc9949d811eb6eaee1090,1
0x94089c698f1f2ab06436f55c9b1e4e5c62d33278,1
0x946083e72d21b751f538b94c4d9e116e578ec902,1
0x94f4869fadbcfde08a8be5c6ca22ba710543012c,1
